HVO ID,Uniprot ID,Description,Protein q-value,Peptides,PSMs,Sequence Coverage,Dataset,Total Datasets,Predicted Processing,Molecular Weight,pI,Hydrophobicity,arCOG,arCOGlet
HVO_0025,D4GYM0,(tssA1) TtuD family sulfurtransferase,0.0,11,4250,66.08391608391608,PXD007061,12,Cyt,32054,4.11,-0.66,arCOG02019,P
HVO_0026,D4GYM1,(atoE) AtoE family transport protein,0.0035698348951361,1,3,1.6666666666666667,PXD007061,6,>=2 TM,50051,4.56,0.79,arCOG04315,I
HVO_0027,D4GYM2,ferritin domain protein,0.0,2,8,23.115577889447238,PXD007061,10,Cyt,21012,3.95,-0.21,arCOG04687,R
HVO_0028,D4GYM3,conserved hypothetical protein,0.0,2,10,30.337078651685392,PXD007061,9,Cyt,9868,4.67,-0.76,arCOG09170,S
HVO_0029,D4GYM4,(uvrB) UvrABC system protein B,0.0,7,77,15.329512893982807,PXD007061,11,Cyt,78974,4.32,-0.57,arCOG04748,L
HVO_0030,D4GYM5,NUDIX family hydrolase (homolog to 8-oxo-dGTP phosphatase),0.0004887585532746823,1,8,11.510791366906474,PXD007061,4,Cyt,16009,5.49,-0.69,arCOG01078,L
HVO_0032,D4GYM7,TSUP family transport protein,0.0,1,2,4.43213296398892,PXD007061,1,>=2 TM,37763,5.77,0.77,arCOG02050,P
HVO_0035,D4GYN0,stomatin family protein,0.0,9,425,32.323232323232325,PXD007061,11,>=2 TM,43054,4.57,-0.21,arCOG01915,O
HVO_0037,D4GYN2,phosphodiesterase domain protein,0.0,5,109,57.57575757575758,PXD007061,8,Cyt,18256,4.82,-0.18,arCOG01738,J
HVO_0038,D4GYN3,(cyc1) cytochrome P450,0.0,6,37,12.445414847161572,PXD007061,7,Cyt,52168,4.81,-0.47,arCOG02814,Q
HVO_0039,D4GYN4,(rad3b) DNA repair helicase Rad3,0.0,14,144,27.384196185286104,PXD007061,8,Cyt,82696,4.47,-0.57,arCOG00770,K
HVO_0041,D4GYN6,(argF) ornithine carbamoyltransferase,0.0,5,253,20.735785953177256,PXD007061,10,Cyt,32661,4.23,-0.26,arCOG00912,E
HVO_0042,D4GYN7,(argE) probable [ArgW]-ornithine hydrolase,0.0,3,22,10.236220472440944,PXD007061,7,Cyt,41006,4.19,-0.32,arCOG01107,E
HVO_0043,D4GYN8,(argD) probable [ArgW]-glutamate semialdehyde aminotransferase,0.0,8,735,29.365079365079364,PXD007061,10,Cyt,39742,4.57,-0.01,arCOG00914,E
HVO_0044,D4GYN9,(argB) probable [ArgW]-glutamate kinase,0.0,3,180,11.926605504587156,PXD007061,8,Cyt,33180,4.33,-0.01,arCOG00862,E
HVO_0045,D4GYP0,(argC) probable [ArgW]-L-glutamate phosphate reductase,0.0,12,391,49.279538904899134,PXD007061,9,Cyt,36769,4.79,-0.19,arCOG00495,E
HVO_0046,D4GYP1,(argX) probable glutamate--argW ligase,0.0,13,1003,57.38831615120275,PXD007061,9,Cyt,31857,4.73,-0.2,arCOG01589,H
HVO_0048,D4GYP3,(argH) argininosuccinate lyase,0.0,12,871,32.99180327868852,PXD007061,8,Cyt,50777,4.38,0.02,arCOG01748,E
HVO_0049,D4GYP4,(argG) argininosuccinate synthase,0.0,9,433,31.11111111111111,PXD007061,12,Cyt,44456,4.28,-0.44,arCOG00112,E
HVO_0054,D4GYP9,(glyS) glycine--tRNA ligase,0.0,13,742,34.68013468013468,PXD007061,12,Cyt,64912,4.05,-0.37,arCOG00405,J
HVO_0055,D4GYQ0,CBS domain protein,0.0,13,965,62.32394366197183,PXD007061,12,Cyt,30835,4.15,-0.06,arCOG00600,R
HVO_0056,D4GYQ1,conserved hypothetical protein,0.0,7,94,53.645833333333336,PXD007061,8,Cyt,20915,4.02,-0.5,arCOG02978,S
HVO_0057,D4GYQ2,conserved hypothetical protein,0.0,2,26,27.027027027027028,PXD007061,7,>=2 TM,15577,5.06,0.32,arCOG06421,S
HVO_0058,D4GYQ3,(dppF1) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide),0.0,11,451,36.486486486486484,PXD007061,12,Cyt,50153,4.74,-0.56,arCOG00184,E
HVO_0059,D4GYQ4,(dppD1) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide),0.0,12,682,57.381615598885794,PXD007061,12,Cyt,39392,4.78,-0.34,arCOG00181,E
HVO_0060,D4GYQ5,(dppC1) ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide),0.0,3,32,9.812108559498956,PXD007061,10,>=2 TM,51549,4.93,0.43,arCOG00748,E
HVO_0061,D4GYQ6,(dppB1) ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide),0.0,4,114,18.624641833810887,PXD007061,10,>=2 TM,38753,5.89,0.52,arCOG00751,E
HVO_0062,D4GYQ7,(dppA1) ABC-type transport system periplasmic substrate-binding protein (probable substrate dipeptide/oligopeptide),0.0,10,745,23.856209150326798,PXD007061,12,Tat; lipobox,67266,4.0,-0.45,arCOG01534,E
HVO_0064,D4GYQ9,DUF296 family protein,0.0,2,41,16.546762589928058,PXD007061,10,Cyt,15648,4.26,-0.29,arCOG04212,R
HVO_0065,D4GYR0,(polD2) DNA-directed DNA polymerase D large subunit,0.0,2,5,2.9118136439267888,PXD007061,8,Cyt,133880,4.46,-0.57,arCOG04447,L
HVO_0066,D4GYR1,PQQ repeat protein,0.0,1,4,3.0952380952380953,PXD007061,4,Tat; lipobox,44331,4.69,-0.31,arCOG02482,M
HVO_0068,D4GYR3,(panE) 2-dehydropantoate 2-reductase,0.0,4,48,18.456375838926174,PXD007061,7,Sec; SPI,30747,5.32,0.09,arCOG04139,H
HVO_0069,D4GYR4,AlkP-core domain protein,0.0,8,63,28.155339805825243,PXD007061,10,Cyt,57365,4.18,-0.57,arCOG02787,P
HVO_0073,D4GYR9,(recJ1) single-stranded-DNA-specific exonuclease RecJ1,0.0,4,27,11.344537815126051,PXD007061,9,Cyt,50636,4.55,-0.2,arCOG00427,L
HVO_0074,D4GYR8,polyphosphate-dependent ADP phosphorylase,0.0,3,15,12.318840579710145,PXD007061,2,Cyt,33090,5.71,-0.91,arCOG03575,F
HVO_0076,D4GYS1,(hemD) uroporphyrinogen-III synthase,0.0,4,35,29.554655870445345,PXD007061,4,Cyt,25484,4.16,0.01,arCOG02048,H
HVO_0077,D4GYS2,(sirA) uroporphyrin-III C-methyltransferase,0.0,5,84,20.13651877133106,PXD007061,7,Cyt,30470,4.36,-0.26,arCOG00644,H
HVO_0078,D4GYS3,(hemC) hydroxymethylbilane synthase (porphobilinogen deaminase),0.0,11,170,37.1900826446281,PXD007061,12,Cyt,39278,4.9,-0.39,arCOG04299,H
HVO_0081,D4GYS6,"(hemL) glutamate-1-semialdehyde 2,1-aminomutase",0.0,16,655,65.1685393258427,PXD007061,12,Cyt,47781,4.72,-0.23,arCOG00918,H
HVO_0083,D4GYS8,GlnK-type ammonia transport regulator,0.0,5,285,58.53658536585366,PXD007061,11,Cyt,12941,4.82,-0.28,arCOG02305,E
HVO_0085,D4GYT0,GlnK-type ammonia transport regulator,0.0,1,7,10.92436974789916,PXD007061,5,Cyt,12497,4.84,-0.2,arCOG02305,E
HVO_0087,D4GYT2,(hemB) porphobilinogen synthase,0.0,8,226,32.415902140672785,PXD007061,11,Cyt,35297,4.6,-0.18,arCOG04300,H
HVO_0091,D4GYT6,PHP domain protein,0.0,3,10,12.5,PXD007061,6,Cyt,28579,4.42,-0.26,arCOG00302,R
HVO_0093,D4GYT8,conserved hypothetical protein,0.0,5,22,17.91044776119403,PXD007061,7,Cyt,37613,4.76,-0.46,arCOG04738,S
HVO_0096,D4GYU1,arNOG08307 family NADH-binding domain protein,0.0,3,16,12.258064516129032,PXD007061,6,Cyt,33331,4.9,0.05,arCOG03015,R
HVO_0097,D4GYU2,conserved hypothetical protein,0.0,4,18,22.448979591836736,PXD007061,5,Cyt,31820,4.68,-0.46,arCOG08138,R
HVO_0099,D4GYU4,helicase domain protein,0.0,4,12,8.80503144654088,PXD007061,8,Cyt,69739,5.59,-0.55,arCOG00770,K
HVO_0100,D4GYU6,NMD3 family protein,0.0,7,121,33.06666666666667,PXD007061,9,Cyt,41589,4.37,-0.59,arCOG04149,J
HVO_0102,D4GYU8,(htpX1) HtpX-like protease,0.0,2,11,6.825938566552901,PXD007061,11,>=2 TM,32742,6.92,0.2,arCOG01331,O
HVO_0103,D4GYU9,conserved hypothetical protein,0.0,1,29,4.975124378109452,PXD007061,9,Cyt,22405,4.08,-0.4,arCOG04740,S
HVO_0104,Q48328,(radA) DNA repair and recombination protein RadA,0.0,15,1280,63.265306122448976,PXD007061,12,Cyt,37298,4.53,-0.4,arCOG00415,L
HVO_0108,D4GYV4,(mscS8) mechanosensitive channel protein MscS,0.0,5,82,27.17948717948718,PXD007061,4,>=2 TM,20593,4.32,0.45,arCOG01568,M
HVO_0109,D4GYV5,(sufS1) cysteine desulfurase,0.0,11,586,34.50704225352113,PXD007061,12,Cyt,46778,4.39,-0.3,arCOG00065,O
HVO_0110,D4GYV6,sensor box histidine kinase,0.0,2,9,7.183908045977011,PXD007061,5,Cyt,37732,4.19,-0.27,arCOG02333,T
HVO_0112,D4GYV8,tetratricopeptide repeat protein,0.0,4,19,23.170731707317074,PXD007061,7,Cyt,27793,4.21,-0.83,arCOG03032,R
HVO_0114,D4GYW0,"(thpR) RNA 2',3'-cyclic 3'-phosphodiesterase",0.0,1,5,8.152173913043478,PXD007061,6,Cyt,19617,4.61,-0.05,arCOG01736,J
HVO_0115,D4GYW1,(rpl39e) 50S ribosomal protein L39e,0.0,2,25,30.0,PXD007061,8,Cyt,6067,11.81,-1.67,arCOG04177,J
HVO_0116,D4GYW2,(rpl31e) 50S ribosomal protein L31e,0.0,4,71,50.0,PXD007061,11,Cyt,10457,5.54,-0.7,arCOG04473,J
HVO_0117,D4GYW3,(tif6) translation initiation factor aIF-6,0.0,6,278,34.38914027149321,PXD007061,9,Cyt,22970,4.18,-0.01,arCOG04176,J
HVO_0118,D4GYW4,(rpl20e) 50S ribosomal protein L20e,0.0,5,313,96.55172413793103,PXD007061,11,Cyt,6360,6.04,-0.21,arCOG04175,J
HVO_0119,D4GYW5,(pfdA) prefoldin alpha subunit,0.0,2,5,8.9171974522293,PXD007061,9,Cyt,17482,3.57,-0.88,arCOG01341,O
HVO_0120,D4GYW6,(ftsY) signal recognition particle receptor FtsY,0.0,6,172,21.710526315789473,PXD007061,12,Cyt,48158,4.04,-0.45,arCOG01227,U
HVO_0122,D4GYW8,(serA1) probable D-2-hydroxyacid dehydrogenase,0.0,11,882,61.72839506172839,PXD007061,10,Cyt,35285,5.16,-0.21,arCOG01757,H
HVO_0123,Q977V2,(srp54) signal recognition particle 54K protein,0.0,10,244,28.387096774193548,PXD007061,11,Cyt,50886,4.35,-0.48,arCOG01228,U
HVO_0127,D4GYX3,UPF0201 family protein,0.0,2,7,40.57971014492754,PXD007061,7,Cyt,15517,4.42,-0.55,arCOG01043,R
HVO_0128,D4GYX4,UPF0200 family protein,0.0,2,10,14.285714285714286,PXD007061,8,Cyt,20701,4.47,-0.45,arCOG01045,H
HVO_0129,D4GYX5,DUF307 family protein,0.0,1,49,7.2,PXD007061,8,>=2 TM,14023,11.25,0.82,arCOG09104,S
HVO_0133,O30561,(ths1) thermosome subunit 1,0.0,24,4764,54.82142857142857,PXD007061,12,Cyt,58889,4.07,-0.22,arCOG01257,O
HVO_0134,D4GYY0,(dim2) probable ribosome biogenesis protein Dim2,0.0,4,96,25.0,PXD007061,12,Cyt,19911,4.82,-0.34,arCOG04150,J
HVO_0135,D4GYY1,(rio1) RIO-type serine/threonine protein kinase Rio1,0.0,8,162,34.48275862068966,PXD007061,10,Cyt,32988,4.69,-0.62,arCOG01180,T
HVO_0136,D4GZ79,(tif1A1) translation initiation factor aIF-1A,0.0,4,60,50.0,PXD007061,9,Cyt,11451,4.91,-1.04,arCOG01179,J
HVO_0138,D4GZ82,(tyrS) tyrosine--tRNA ligase,0.0,8,440,44.207317073170735,PXD007061,12,Cyt,36089,4.25,-0.29,arCOG01886,J
HVO_0144,D4GZ88,(rnz) ribonuclease Z,0.0,4,15,16.08832807570978,PXD007061,8,Cyt,34286,4.97,-0.47,arCOG00501,J
HVO_0145,D4GZ89,(rfcC) replication factor C small subunit,0.0,11,252,41.05571847507331,PXD007061,11,Cyt,37756,4.76,-0.45,arCOG00469,L
HVO_0146,D4GZ90,(psd) probable archaetidylserine decarboxylase,0.0,3,80,17.91044776119403,PXD007061,9,TM N-term,21672,6.31,-0.06,arCOG04470,I
HVO_0154,D4GZ98,conserved hypothetical protein,0.0,1,10,10.738255033557047,PXD007061,9,Tat; lipobox,15838,4.23,-0.34,arCOG13585,S
HVO_0155,D4GZ99,conserved hypothetical protein,0.0,1,4,17.647058823529413,PXD007061,2,Pil; SPIII,7263,4.94,0.73,arCOG10947,S
HVO_0156,D4GZA0,"(trmG10) tRNA (guanine(10),N(2))-dimethyltransferase",0.0,10,208,37.69470404984423,PXD007061,8,Cyt,34152,5.03,-0.08,arCOG00047,J
HVO_0158,D4GZA2,(tbp1) TATA-binding transcription initiation factor,0.0,4,245,20.105820105820104,PXD007061,11,Cyt,20333,4.07,-0.02,arCOG01764,K
HVO_0161,D4GZA5,(hisG) ATP phosphoribosyltransferase,0.0,12,609,53.736654804270465,PXD007061,11,Cyt,30427,4.52,-0.02,arCOG02208,E
HVO_0162,D4GZA6,peptidase M48 family protein,0.0,3,89,10.655737704918034,PXD007061,8,>=2 TM,38967,9.45,0.37,arCOG01334,O
HVO_0163,D4GZA7,ArsR family transcription regulator,0.0,6,58,50.588235294117645,PXD007061,9,Cyt,19820,5.98,-0.64,arCOG02611,K
HVO_0165,D4GZA9,(mtaD) 5-methylthioadenosine/S-adenosylhomocysteine deaminase,0.0,9,259,30.0,PXD007061,11,Cyt,45087,4.29,-0.03,arCOG00695,F
HVO_0167,D4GZB1,(ahcY) adenosylhomocysteinase,0.0,9,439,27.33644859813084,PXD007061,12,Cyt,46595,4.24,-0.26,arCOG04137,H
HVO_0170,D4GZB4,(hjc) Holliday junction resolvase Hjc,0.0,2,11,31.428571428571427,PXD007061,6,Cyt,15361,5.15,-0.53,arCOG00919,L
HVO_0173,D4GZB7,(priL) DNA primase large subunit,0.0,6,23,20.76502732240437,PXD007061,8,Cyt,40025,4.48,-0.4,arCOG03013,L
HVO_0174,D4GZB8,conserved hypothetical protein,0.0,6,109,36.54822335025381,PXD007061,7,Cyt,22573,5.26,-0.7,arCOG06450,S
HVO_0175,D4GZB9,(pcnA) DNA polymerase sliding clamp,0.0,8,1318,50.202429149797574,PXD007061,12,Cyt,26655,4.25,0.04,arCOG00488,L
HVO_0177,D4GZC0,(arsC) arsenate reductase (glutaredoxin),0.0,1,2,6.5359477124183005,PXD007061,5,Cyt,16635,4.09,-0.41,arCOG04425,T
HVO_0179,D4GZC3,Lrp/AsnC family transcription regulator / TrkA domain protein,0.0,7,146,42.52873563218391,PXD007061,10,Cyt,28040,4.41,-0.25,arCOG01584,K
HVO_0180,D4GZC4,(rlmE) 23S rRNA (uridine-2'-O-) methyltransferase,0.0,4,60,29.343629343629345,PXD007061,11,Cyt,28339,4.58,-0.47,arCOG00079;arCOG01641,J;R
HVO_0183,D4GZC7,probable transport protein (probable substrate queuosine precursor),0.0,1,5,4.602510460251046,PXD007061,5,>=2 TM,24947,4.46,0.83,arCOG04284,R
HVO_0185,D4GZC9,(tatCt) Sec-independent protein translocase protein TatCt,0.0,4,70,7.520891364902507,PXD007061,10,>=2 TM,77936,4.85,0.58,arCOG04736,U
HVO_0186,D4GZD0,(tatCo) Sec-independent protein translocase protein TatCo,0.0,3,56,12.244897959183673,PXD007061,8,>=2 TM,46815,3.88,0.01,arCOG01919,U
HVO_0188,D4GZD2,START domain protein,0.0,6,65,48.125,PXD007061,8,Cyt,18026,5.18,-0.4,arCOG05264,S
HVO_0190,D4GZD4,LarE family protein,0.0,4,37,15.771812080536913,PXD007061,10,Cyt,32531,4.42,-0.4,arCOG00043,R
HVO_0191,D4GZD5,(mutS5a) DNA mismatch repair protein MutS,0.0,11,97,22.59036144578313,PXD007061,9,Cyt,70750,4.32,-0.09,arCOG02895,L
HVO_0192,D4GZD7,conserved hypothetical protein,0.0,3,71,34.81481481481482,PXD007061,9,Pil; SPIII,14614,4.16,0.03,nd,nd
HVO_0193,D4GZD6,conserved hypothetical protein,0.0009161704076958314,1,4,11.235955056179776,PXD007061,5,>=2 TM,9606,5.5,0.97,arCOG08891,S
HVO_0194,D4GZD8,(orc9) Orc1-type DNA replication protein,0.0,16,566,52.94117647058823,PXD007061,11,Cyt,42211,4.82,-0.37,arCOG00467,L
HVO_0195,D4GZD9,(rpiA) ribose-5-phosphate isomerase,0.0,3,11,19.130434782608695,PXD007061,11,Cyt,23240,4.36,0.19,arCOG01122,G
HVO_0196,D4GZE0,conserved hypothetical protein,0.0,1,55,41.81818181818182,PXD007061,9,Cyt,6242,4.65,-0.72,arCOG02989,L
HVO_0197,D4GZE1,(purE2) LarB family protein,0.0,2,7,7.905138339920948,PXD007061,8,Cyt,25490,4.24,0.13,arCOG02465,R
HVO_0199,D4GZE4,(pmm2) phosphohexomutase (phosphoglucomutase / phosphomannomutase),0.0,20,1477,72.21006564551422,PXD007061,12,Cyt,48436,4.17,-0.08,arCOG00767,G
HVO_0203,D4GZE8,(rfcA) replication factor C small subunit,0.0,15,1245,51.681957186544345,PXD007061,12,Cyt,36200,4.35,-0.33,arCOG00469,L
HVO_0204,D4GZE9,sensor box histidine kinase,0.0,2,5,5.2030456852791875,PXD007061,4,Cyt,85461,4.22,-0.4,arCOG02333;arCOG02334,T
HVO_0206,D4GZF1,(alaS1) alanine--tRNA ligase,0.0,28,977,44.46854663774403,PXD007061,12,Cyt,102401,4.38,-0.53,arCOG01255,J
HVO_0207,D4GZF2,alpha/beta hydrolase fold protein,0.0,5,36,27.131782945736433,PXD007061,8,Cyt,27037,4.3,-0.09,arCOG01648,R
HVO_0208,D4GZF3,(guaAa2) glutamine amidotransferase (homolog to GMP synthase subunit A),0.0,1,3,4.641350210970464,PXD007061,9,Cyt,26151,4.53,-0.35,arCOG00090,F
HVO_0209,D4GZF4,(acd1) glutaryl-CoA dehydrogenase,0.0,15,380,51.679586563307495,PXD007061,12,Cyt,42366,4.76,-0.43,arCOG01707,I
HVO_0212,D4GZF7,glyoxalase domain protein,0.0,3,85,43.54838709677419,PXD007061,11,Cyt,13518,3.98,-0.08,arCOG02708,E
HVO_0213,D4GZF8,(dpsA2) ferritin/Dps domain protein,0.0,4,90,48.666666666666664,PXD007061,12,Cyt,16898,4.23,-0.65,arCOG01093,R
HVO_0214,D4GZF9,L-lactate dehydrogenase,0.0,9,326,35.9375,PXD007061,12,Cyt,34548,4.34,-0.1,arCOG00246,C
HVO_0215,D4GZG0,iron-sulfur protein (4Fe-4S),0.0,6,46,12.642045454545455,PXD007061,11,>=2 TM,78181,4.42,-0.17,arCOG00332,C
HVO_0218,D4GZG3,(bioY) biotin transport protein BioY,0.0,1,2,8.333333333333334,PXD007061,8,>=2 TM,19205,5.19,0.96,arCOG02986,R
HVO_0219,D4GZG4,(cmi4) conditioned medium-induced protein 4,0.0009161704076958314,1,33,3.482587064676617,PXD007061,7,Cyt,22508,4.02,-0.48,arCOG04725,K
HVO_0220,D4GZG5,(mcm) ATP-dependent DNA helicase MCM,0.0,24,382,50.0,PXD007061,11,Cyt,78806,4.59,-0.59,arCOG00439,L
HVO_0228,D4GZH3,ParA domain protein,0.0,2,34,12.550607287449393,PXD007061,10,Cyt,24634,3.88,0.4,arCOG07866,D
HVO_0229,D4GZH4,conserved hypothetical protein,0.0,2,75,11.07011070110701,PXD007061,8,>=2 TM,27334,4.43,0.92,arCOG04389,S
HVO_0231,D4GZH6,(udg1) uracil-DNA glycosylase,0.0031404217137729925,1,3,6.6350710900473935,PXD007061,5,Cyt,23043,4.39,-0.33,arCOG00905,L
HVO_0233,D4GZH8,(prsA) ribose-phosphate pyrophosphokinase,0.0,6,129,40.63604240282685,PXD007061,11,Cyt,29554,4.18,0.07,arCOG00067,F
HVO_0234,D4GZH9,conserved hypothetical protein,0.0,5,31,34.18181818181818,PXD007061,9,Cyt,28119,4.18,0.03,arCOG04726,S
HVO_0236,D4GZI1,(trm1) tRNA (guanine(26)-N(2))-dimethyltransferase,0.0,7,104,28.19148936170213,PXD007061,9,Cyt,40877,4.82,-0.35,arCOG01219,J
HVO_0237,D4GZI2,UPF0761 family protein,0.0,4,324,13.258426966292134,PXD007061,11,>=2 TM,46727,4.97,0.45,arCOG04965;arCOG07870,L;R
HVO_0239,P43386,(glnA) glutamine synthetase,0.0,28,3632,73.90350877192982,PXD007061,12,Cyt,50491,4.42,-0.39,arCOG01909,E
HVO_0240,D4GZI5,Lrp/AsnC family transcription regulator,0.0,6,729,46.05263157894737,PXD007061,11,Cyt,16905,4.29,-0.29,arCOG01580,K
HVO_0242,D4GZI7,(pepB1) aminopeptidase (homolog to leucyl aminopeptidase / aminopeptidase T),0.0,5,43,18.333333333333332,PXD007061,12,Cyt,39525,4.15,-0.41,arCOG01888,E
HVO_0243,D4GZI8,(ltaE) threonine aldolase,0.0,7,76,28.44574780058651,PXD007061,11,Cyt,35596,4.35,-0.03,arCOG00113,H
HVO_0244,D4GZI9,transport protein (probable substrate zinc/cadmium/cobalt),0.0,4,85,15.605095541401274,PXD007061,9,>=2 TM,34019,4.51,0.29,arCOG01480,P
HVO_0245,D4GZJ0,MJ0936 family phosphodiesterase,0.0,1,2,7.558139534883721,PXD007061,3,Cyt,18672,5.54,-0.38,arCOG01141,R
HVO_0246,D4GZJ1,ArsR family transcription regulator,0.0009161704076958314,1,2,6.875,PXD007061,7,TM C-term,31891,4.27,-0.13,arCOG01686,K
HVO_0250,D4GZJ5,DUF21/CBS domain protein,0.0,8,380,23.142250530785564,PXD007061,11,>=2 TM,51723,4.19,-0.05,arCOG00626,R
HVO_0283,D4GZR3,(ashA) archaea-specific helicase AshA,0.0,8,60,17.690058479532162,PXD007061,9,Cyt,76293,5.3,-0.43,arCOG00554,R
HVO_0284,D4GZR4,cupin 2 barrel domain protein,0.0,2,7,24.031007751937985,PXD007061,6,Cyt,13699,4.2,-0.22,arCOG02994,S
HVO_0285,D4GZR5,M50 family metalloprotease,0.0,6,267,16.41025641025641,PXD007061,11,>=2 TM,42080,4.78,0.49,arCOG00607,R
HVO_0286,D4GZR6,ADP-ribose pyrophosphatase,0.0004887585532746823,1,5,5.839416058394161,PXD007061,3,Cyt,28852,4.13,-0.18,arCOG00215,R
HVO_0291,D4GZS0,(rpap3) rpa-associated protein,0.0,7,65,58.16326530612245,PXD007061,8,Cyt,21979,4.3,-0.63,arCOG02257,L
HVO_0292,D4GZS1,(rpa3) replication protein A,0.0,9,370,35.369774919614144,PXD007061,12,Cyt,34562,4.2,-0.5,arCOG01510,L
HVO_0295,D4GZS4,conserved hypothetical protein,0.0,2,36,11.627906976744185,PXD007061,3,>=2 TM,23313,9.3,0.4,nd,nd
HVO_0296,D4GZS5,probable oxidoreductase (short-chain dehydrogenase family),0.0,9,259,58.23754789272031,PXD007061,11,Cyt,27008,4.29,0.09,arCOG01259,I
HVO_0297,D4GZS6,(tfx) Tfx-type DNA-binding protein,0.0,3,16,23.78048780487805,PXD007061,6,Cyt,17705,4.67,-0.36,arCOG04554,K
HVO_0298,D4GZS7,TRAM domain protein,0.0,3,86,36.875,PXD007061,7,Cyt,17136,4.76,-0.68,arCOG01643,R
HVO_0300,D4GZS9,conserved hypothetical protein,0.0,5,13,18.12688821752266,PXD007061,7,Cyt,37863,4.52,-0.58,arCOG00932,R
HVO_0301,D4GZT0,receiver/sensor box histidine kinase,0.0,1,5,2.066772655007949,PXD007061,4,Cyt,68935,4.51,-0.18,arCOG02333;arCOG02387,T
HVO_0302,D4GZT1,DUF373 family protein,0.0,2,18,6.36604774535809,PXD007061,7,>=2 TM,39912,4.31,0.48,arCOG04151,R
HVO_0303,D4GZT2,(idsA2) bifunctional short chain isoprenyl diphosphate synthase,0.0,2,26,12.5,PXD007061,7,Cyt,29792,4.29,-0.1,arCOG01726,H
HVO_0304,D4GZT3,(etfA1) electron transfer flavoprotein alpha subunit,0.0,5,468,31.545741324921135,PXD007061,12,Cyt,33499,4.04,0.03,arCOG00447,C
HVO_0305,D4GZT4,(etfB1) electron transfer flavoprotein beta subunit,0.0,3,174,22.641509433962263,PXD007061,9,Cyt,28454,3.88,-0.1,arCOG00446,C
HVO_0306,D4GZT5,probable transmembrane glycoprotein / HTH domain protein,0.0,7,188,24.23469387755102,PXD007061,10,Sec; SPI,42138,4.2,-0.39,arCOG00381,K
HVO_0307,D4GZT6,conserved hypothetical protein,0.0,12,196,33.69330453563715,PXD007061,11,Sec; SPI,49031,4.74,-0.28,arCOG03052,N
